
Rank    Country/Region  Total electricity   consumption(GW·h/yr)    Year of data    Source  Population  As of	Average electrical power per capita kWh per year	Watts
161	 Guyana	851	2018 est.	EIA	782,770	2019	1,087	124
162	 Fiji	997	2018 est.	EIA	889,950	2019	1,120	128
163	 Aruba	899	2018 est.	EIA	106,310	2019	8,457	965
164	 French Polynesia	544	2018 est.	EIA	279,290	2019	1,946	222
165	 South Sudan	529	2018 est.	EIA	11,062,110	2019	48	5
166	 Jersey	600	2004 est.	EIA	98,069	2016	6,425	733
167	 Bermuda	560	2018 est.	EIA	63,920	2019	8,759	999
168	 Cayman Islands	629	2019 est.	EIA	64,950	2019	9,687	1,105
169	 U.S. Virgin Islands	553	2018 est.	EIA	106,630	2019	5,188	592
170	 Marshall Islands	562.40	2014 est.	EIA	58,790	2019	9,566	1,091
171	 Andorra	500	2012 est.	EIA	77,140	2019	6,482	739
172	 Rwanda	764	2018 est.	EIA	12,626,950	2019	61	7
173	 Burundi	339	2018 est.	EIA	11,530,580	2019	29	3
174	 Belize	568	2018 est.	EIA	390,350	2019	1,454	166
175	 Djibouti	381	2018 est.	EIA	973,560	2019	391	45
176	 Haiti	359	2018 est.	EIA	11,263,080	2019	32	4
177	 Seychelles	403	2018 est.	EIA	97,630	2019	4,125	471
178	 Somalia	323	2018 est.	EIA	15,442,910	2019	21	2
179	 Saint Lucia	352	2018 est.	EIA	182,790	2019	1,924	219
180	 Antigua and Barbuda	314	2018 est.	EIA	97,120	2019	3,237	369
181	 Cabo Verde	455	2018 est.	EIA	549,930	2019	827	94
182	 Eritrea	408	2018 est.	EIA	3,213,970	2011	127	14
183	 Faroe Islands	316	2019 est.	EIA	48,680	2019	6,492	741
184	 Gambia	291	2018 est.	EIA	2,347,710	2019	124	14
185	 Greenland	496	2018 est.	EIA	56,230	2019	8,812	1,005
186	 Liberia	348	2018 est.	EIA	4,937,370	2019	70	8
187	 Maldives	565	2018 est.	EIA	530,950	2019	1,064	121
188	 Northern Mariana Islands	200	2012 est.	EIA	57,220	2019	3,495	399
189	 Chad	213	2018 est.	EIA	15,946,880	2019	13	2
190	 Saint Kitts and Nevis	184	2018 est.	EIA	52,830	2019	3,478	397
191	 Central African Republic	140	2018 est.	EIA	4,745,190	2019	30	3
192	 Sierra Leone	242	2018 est.	EIA	7,813,220	2019	31	4
193	 Turks and Caicos Islands	186	2018 est.	EIA	38,190	2019	4,870	556
194	 Gibraltar	196	2018 est.	EIA	33,700	2019	5,803	662
195	 Grenada	198	2018 est.	EIA	112,000	2019	1,772	202
196	 Micronesia, Federated States of	125	2002 est.	EIA	113,810	2019	1,101	126
197	 Timor-Leste	100	2014 est.	EIA	1,293,120	2019	77	9
198	 British Virgin Islands	94	2018 est.	EIA	30,030	2019	3,145	359
199	 Saint Vincent and the Grenadines	133	2018 est.	EIA	110,590	2019	1,203	137
200	 American Samoa	152	2018 est.	EIA	55,310	2019	2,741	313
201	 Samoa	124	2018 est.	EIA	197,100	2019	627	72
202	 Equatorial Guinea	1,321	2018 est.	EIA	1,355,990	2019	975	111
203	 Dominica	59.69	2019 est.	EIA	71,810	2019	831	95
204	 Solomon Islands	98.26	2018 est.	EIA	669,820	2019	147	17
205	 Sao Tome and Principe	80.91	2018 est.	EIA	215,060	2019	376	43
206	 Vanuatu	65.19	2018 est.	EIA	299,880	2019	217	25
207	 Tonga	51.15	2018 est.	EIA	104,490	2019	490	56
208	 Saint Pierre and Miquelon	44.64	2018 est.	EIA	850,890	2016	7,479	853
209	 Comoros	93.37	2018 est.	EIA	850,890	2019	110	13
210	 Guinea-Bissau	39.06	2018 est.	EIA	1,920,920	2019	20	2
211	 Cook Islands	38.81	2018 est.	EIA	9,556	2016	3,308	377
212	 Kiribati	27.75	2018 est.	EIA	117,610	2019	236	27
213	 Nauru	32.55	2018 est.	EIA	12,580	2019	2,587	295
214	 Montserrat	14.88	2018 est.	EIA	5,267	2016	4,061	463
215	 Falkland Islands	18.32	2018 est.	EIA	2,931	2016	4,759	543
216	 Saint Helena, Ascension and Tristan da Cunha	2.79	2018 est.	EIA	7,795	2016	3,126	357
217	 Niue	7.44	2018 est.	EIA	1,190	2016	1,193	136
218	 Gaza Strip	202[contradictory]	2009	CIA	1,753,327	2016	0.1	0.01
